iter	Passed	Remaining
0	314	31163
1	457	22437
2	589	19048
3	711	17064
4	834	15856
5	964	15109
6	1105	14682
7	1253	14415
8	1383	13988
9	1509	13584
10	1641	13277
11	1767	12964
12	1894	12676
13	2037	12514
14	2184	12381
15	2310	12132
16	2451	11966
17	2583	11768
18	2731	11645
19	2864	11458
20	2987	11238
21	3118	11055
22	3249	10877
23	3376	10692
24	3501	10504
25	3637	10351
26	3763	10175
27	3902	10033
28	4042	9897
29	4167	9723
30	4290	9548
31	4418	9390
32	4543	9223
33	4691	9106
34	4840	8990
35	4982	8857
36	5115	8710
37	5241	8552
38	5367	8395
39	5490	8236
40	5628	8099
41	5750	7941
42	5876	7789
43	6002	7640
44	6144	7510
45	6283	7375
46	6410	7229
47	6533	7078
48	6658	6930
49	6786	6786
50	6917	6646
51	7048	6505
52	7187	6373
53	7323	6238
54	7474	6115
55	7607	5977
56	7749	5846
57	7911	5728
58	8055	5598
59	8451	5634
60	8852	5660
61	8999	5515
62	9129	5361
63	9276	5217
64	9416	5070
65	9562	4925
66	9691	4773
67	9952	4683
68	10381	4663
69	10521	4509
70	10646	4348
71	10775	4190
72	10926	4041
73	11068	3888
74	11212	3737
75	11346	3583
76	11477	3428
77	11597	3271
78	11720	3115
79	11851	2962
80	11981	2810
81	12102	2656
82	12228	2504
83	12360	2354
84	12497	2205
85	12627	2055
86	12750	1905
87	12872	1755
88	12996	1606
89	13128	1458
90	13253	1310
91	13381	1163
92	13506	1016
93	13624	869
94	13755	723
95	13879	578
96	14003	433
97	14131	288
98	14257	144
99	14394	0
