iter	Passed	Remaining
0	262	25965
1	378	18560
2	493	15970
3	614	14736
4	734	13956
5	854	13380
6	995	13231
7	1143	13153
8	1282	12971
9	1401	12613
10	1534	12415
11	1703	12490
12	1836	12288
13	1968	12091
14	2118	12006
15	2275	11947
16	2417	11801
17	2537	11561
18	2671	11390
19	2807	11229
20	2950	11100
21	3077	10911
22	3258	10907
23	3417	10822
24	3605	10816
25	3803	10825
26	4000	10815
27	4451	11446
28	4773	11686
29	4943	11534
30	5083	11315
31	5228	11110
32	5362	10887
33	5491	10660
34	5604	10407
35	5729	10185
36	5872	9999
37	6016	9816
38	6142	9607
39	6262	9393
40	6394	9202
41	6523	9008
42	6665	8835
43	6778	8627
44	6891	8423
45	7059	8287
46	7210	8130
47	7324	7934
48	7441	7744
49	7570	7570
50	7702	7400
51	7835	7233
52	7946	7047
53	8064	6869
54	8198	6707
55	8341	6554
56	8454	6377
57	8582	6215
58	8721	6060
59	8846	5897
60	8966	5732
61	9084	5567
62	9199	5402
63	9318	5241
64	9442	5084
65	9556	4923
66	9670	4763
67	9816	4619
68	9942	4466
69	10055	4309
70	10171	4154
71	10287	4000
72	10415	3852
73	10542	3704
74	10666	3555
75	10785	3405
76	10907	3258
77	11023	3109
78	11144	2962
79	11257	2814
80	11379	2669
81	11502	2524
82	11632	2382
83	11747	2237
84	11859	2092
85	11984	1950
86	12111	1809
87	12245	1669
88	12357	1527
89	12470	1385
90	12587	1244
91	12711	1105
92	12831	965
93	12951	826
94	13071	687
95	13204	550
96	13333	412
97	13452	274
98	13577	137
99	13709	0
